,0,1,2
193,48500,tensor(0.0284),tensor(97.6612)
194,48750,tensor(0.0187),tensor(97.5973)
195,49000,tensor(0.0265),tensor(97.4420)
196,49250,tensor(0.0130),tensor(97.5745)
197,49500,tensor(0.0336),tensor(97.4511)
198,49750,tensor(0.0163),tensor(97.6247)
199,50000,tensor(0.0662),tensor(97.5973)
200,50250,tensor(0.0441),tensor(97.4785)
201,50500,tensor(0.0400),tensor(97.3232)
202,50750,tensor(0.0401),tensor(97.3917)
203,51000,tensor(0.0592),tensor(97.5059)
204,51250,tensor(0.1417),tensor(97.6567)
205,51500,tensor(0.0874),tensor(97.4009)
206,51750,tensor(0.0716),tensor(97.5151)
207,52000,tensor(0.0351),tensor(96.8116)
208,52250,tensor(0.0401),tensor(97.4557)
209,52500,tensor(0.0341),tensor(97.4329)
210,52750,tensor(0.0192),tensor(97.6430)
211,53000,tensor(0.0684),tensor(97.6430)
212,53250,tensor(0.0644),tensor(97.6156)
213,53500,tensor(0.0142),tensor(97.6064)
214,53750,tensor(0.0141),tensor(97.2090)
215,54000,tensor(0.0304),tensor(97.5288)
216,54250,tensor(0.0605),tensor(97.4922)
217,54500,tensor(0.0485),tensor(97.7115)
218,54750,tensor(0.1305),tensor(97.5425)
219,55000,tensor(0.0279),tensor(97.5653)
220,55250,tensor(0.0211),tensor(97.3735)
221,55500,tensor(0.0629),tensor(97.3461)
222,55750,tensor(0.0638),tensor(97.5151)
223,56000,tensor(0.1416),tensor(97.3780)
224,56250,tensor(0.0230),tensor(97.5882)
225,56500,tensor(0.0309),tensor(97.5790)
226,56750,tensor(0.1225),tensor(97.5059)
227,57000,tensor(0.0461),tensor(97.7206)
228,57250,tensor(0.0775),tensor(97.6475)
229,57500,tensor(0.0705),tensor(97.4420)
230,57750,tensor(0.1044),tensor(97.3872)
231,58000,tensor(0.1075),tensor(97.6156)
232,58250,tensor(0.0322),tensor(97.5745)
233,58500,tensor(0.0816),tensor(97.6978)
234,58750,tensor(0.0226),tensor(97.6978)
235,59000,tensor(0.0149),tensor(97.5425)
236,59250,tensor(0.0103),tensor(97.6521)
237,59500,tensor(0.0981),tensor(97.5242)
238,59750,tensor(0.0496),tensor(97.4922)
239,60000,tensor(0.0318),tensor(97.6475)
240,60250,tensor(0.0378),tensor(97.6887)
241,60500,tensor(0.0574),tensor(97.7069)
242,60750,tensor(0.0109),tensor(97.6430)
243,61000,tensor(0.1113),tensor(97.5973)
244,61250,tensor(0.0500),tensor(97.6932)
245,61500,tensor(0.0174),tensor(97.7161)
246,61750,tensor(0.0516),tensor(97.4420)
247,62000,tensor(0.0050),tensor(97.6887)
248,62250,tensor(0.0051),tensor(97.5242)
249,62500,tensor(0.0344),tensor(97.6384)
250,62750,tensor(0.1057),tensor(97.5151)
251,63000,tensor(0.0163),tensor(97.6567)
252,63250,tensor(0.1031),tensor(97.5836)
253,63500,tensor(0.0808),tensor(97.6384)
254,63750,tensor(0.0113),tensor(97.7206)
255,64000,tensor(0.0518),tensor(97.5790)
256,64250,tensor(0.0303),tensor(97.6749)
257,64500,tensor(0.0098),tensor(97.6658)
258,64750,tensor(0.0281),tensor(97.6704)
259,65000,tensor(0.0243),tensor(97.4648)
260,65250,tensor(0.0589),tensor(97.3506)
261,65500,tensor(0.1104),tensor(97.8440)
262,65750,tensor(0.0815),tensor(97.6384)
263,66000,tensor(0.0360),tensor(97.4054)
264,66250,tensor(0.1062),tensor(97.5790)
265,66500,tensor(0.0345),tensor(97.7983)
266,66750,tensor(0.0451),tensor(97.5196)
