,0,1,2
236,59250,tensor(0.0003),tensor(95.4655)
237,59500,tensor(5.7110e-05),tensor(95.6029)
238,59750,tensor(0.0062),tensor(94.7441)
239,60000,tensor(0.0007),tensor(95.6372)
240,60250,tensor(0.0002),tensor(95.5342)
241,60500,tensor(6.0066e-05),tensor(95.5685)
242,60750,tensor(0.0087),tensor(94.8128)
243,61000,tensor(0.0002),tensor(95.4311)
244,61250,tensor(0.0008),tensor(95.5342)
245,61500,tensor(0.0002),tensor(95.5685)
246,61750,tensor(0.0001),tensor(95.4998)
247,62000,tensor(2.7723e-05),tensor(95.6372)
248,62250,tensor(0.0048),tensor(95.7059)
249,62500,tensor(3.8278e-05),tensor(95.7747)
250,62750,tensor(0.0002),tensor(95.4998)
251,63000,tensor(2.2213e-05),tensor(95.6716)
252,63250,tensor(0.0369),tensor(95.4655)
253,63500,tensor(0.0030),tensor(95.1219)
254,63750,tensor(5.0629e-05),tensor(95.3624)
255,64000,tensor(2.9870e-05),tensor(95.2250)
256,64250,tensor(3.5810e-05),tensor(95.7403)
257,64500,tensor(6.9452e-05),tensor(95.5685)
258,64750,tensor(0.0002),tensor(95.7059)
259,65000,tensor(0.0002),tensor(95.7403)
260,65250,tensor(0.0004),tensor(95.4655)
261,65500,tensor(0.0011),tensor(94.7784)
262,65750,tensor(0.0001),tensor(95.4998)
263,66000,tensor(8.6124e-05),tensor(95.7747)
264,66250,tensor(0.0004),tensor(95.5342)
265,66500,tensor(0.0001),tensor(95.0876)
266,66750,tensor(0.0003),tensor(95.7059)
267,67000,tensor(0.0002),tensor(95.6716)
268,67250,tensor(5.5000e-05),tensor(95.7403)
269,67500,tensor(5.4532e-05),tensor(96.0495)
270,67750,tensor(6.2081e-05),tensor(95.8090)
271,68000,tensor(6.9620e-05),tensor(95.7747)
272,68250,tensor(3.2287e-05),tensor(95.9121)
273,68500,tensor(8.4740e-06),tensor(96.0495)
274,68750,tensor(2.7905e-05),tensor(95.9808)
275,69000,tensor(0.0001),tensor(95.5685)
276,69250,tensor(0.0039),tensor(95.8777)
277,69500,tensor(0.0019),tensor(95.6372)
278,69750,tensor(0.0002),tensor(95.4655)
279,70000,tensor(0.0004),tensor(95.9121)
280,70250,tensor(7.6471e-05),tensor(95.6716)
281,70500,tensor(4.4229e-05),tensor(95.7403)
282,70750,tensor(0.0002),tensor(95.7059)
283,71000,tensor(7.5191e-05),tensor(95.6716)
284,71250,tensor(6.6040e-05),tensor(95.7059)
285,71500,tensor(9.1161e-05),tensor(96.0151)
286,71750,tensor(6.7213e-05),tensor(96.1182)
287,72000,tensor(2.9178e-05),tensor(95.7747)
288,72250,tensor(0.0013),tensor(94.3318)
289,72500,tensor(0.0022),tensor(95.2250)
290,72750,tensor(0.0003),tensor(95.4655)
291,73000,tensor(0.0001),tensor(95.6716)
292,73250,tensor(2.7936e-05),tensor(95.6372)
293,73500,tensor(9.4843e-05),tensor(95.8434)
294,73750,tensor(7.2384e-05),tensor(95.9808)
295,74000,tensor(2.4488e-05),tensor(95.8434)
296,74250,tensor(0.0003),tensor(95.6716)
297,74500,tensor(1.7391e-05),tensor(95.8777)
298,74750,tensor(4.8395e-05),tensor(95.8777)
299,75000,tensor(0.0379),tensor(95.0189)
300,75250,tensor(0.0111),tensor(95.0532)
301,75500,tensor(0.0004),tensor(95.3968)
302,75750,tensor(9.0568e-05),tensor(95.6716)
303,76000,tensor(4.9809e-05),tensor(95.7747)
304,76250,tensor(0.0001),tensor(95.6372)
305,76500,tensor(5.1563e-05),tensor(95.7403)
306,76750,tensor(5.7559e-05),tensor(96.0151)
307,77000,tensor(2.7830e-05),tensor(95.8777)
308,77250,tensor(4.1244e-05),tensor(95.8434)
309,77500,tensor(5.0520e-05),tensor(95.7747)
310,77750,tensor(7.7983e-05),tensor(96.0151)
311,78000,tensor(0.0002),tensor(95.9464)
312,78250,tensor(4.1767e-05),tensor(95.8434)
313,78500,tensor(6.0436e-05),tensor(96.0838)
314,78750,tensor(1.5168e-05),tensor(95.7059)
315,79000,tensor(9.7687e-06),tensor(96.0495)
316,79250,tensor(0.0019),tensor(95.2250)
317,79500,tensor(0.0004),tensor(95.2594)
318,79750,tensor(9.2362e-05),tensor(95.4655)
319,80000,tensor(0.0001),tensor(95.7747)
320,80250,tensor(0.0002),tensor(95.6716)
321,80500,tensor(0.0003),tensor(95.7059)
322,80750,tensor(8.2892e-05),tensor(95.9121)
323,81000,tensor(9.8375e-05),tensor(95.6372)
324,81250,tensor(8.1430e-05),tensor(95.6029)
325,81500,tensor(0.0002),tensor(95.9121)
326,81750,tensor(4.0162e-05),tensor(95.6716)
327,82000,tensor(0.0001),tensor(95.7747)
328,82250,tensor(3.9095e-05),tensor(95.7747)
329,82500,tensor(0.0026),tensor(94.3662)
330,82750,tensor(4.7619e-05),tensor(94.9845)
331,83000,tensor(0.0046),tensor(95.1563)
332,83250,tensor(0.0001),tensor(95.6372)
333,83500,tensor(0.0003),tensor(95.6372)
334,83750,tensor(0.0001),tensor(95.3624)
335,84000,tensor(0.0073),tensor(95.1563)
336,84250,tensor(0.0004),tensor(95.5342)
337,84500,tensor(7.8895e-05),tensor(95.7403)
338,84750,tensor(3.3024e-05),tensor(95.6716)
339,85000,tensor(4.4664e-05),tensor(95.2937)
340,85250,tensor(5.7500e-05),tensor(95.8434)
341,85500,tensor(7.1551e-05),tensor(95.9121)
342,85750,tensor(9.5144e-05),tensor(95.5685)
343,86000,tensor(4.3114e-05),tensor(95.7403)
344,86250,tensor(4.5224e-05),tensor(95.3281)
345,86500,tensor(0.0127),tensor(95.0876)
346,86750,tensor(0.0002),tensor(95.6029)
347,87000,tensor(0.0001),tensor(95.7059)
348,87250,tensor(7.2330e-05),tensor(95.6029)
349,87500,tensor(0.0002),tensor(95.9121)
350,87750,tensor(0.0002),tensor(95.4311)
