,0,1,2
197,49500,tensor(0.0013),tensor(97.6297)
198,49750,tensor(0.0049),tensor(97.6640)
199,50000,tensor(0.0243),tensor(97.9732)
200,50250,tensor(0.0148),tensor(97.2862)
201,50500,tensor(0.0232),tensor(97.4923)
202,50750,tensor(0.0019),tensor(97.0457)
203,51000,tensor(0.0022),tensor(97.5266)
204,51250,tensor(0.0311),tensor(96.1525)
205,51500,tensor(0.0033),tensor(97.2862)
206,51750,tensor(0.0026),tensor(97.4236)
207,52000,tensor(0.0052),tensor(96.9770)
208,52250,tensor(0.0114),tensor(97.2518)
209,52500,tensor(0.0048),tensor(97.0800)
210,52750,tensor(0.0174),tensor(96.3586)
211,53000,tensor(0.0252),tensor(97.5610)
212,53250,tensor(0.0009),tensor(97.2518)
213,53500,tensor(0.0365),tensor(96.8396)
214,53750,tensor(0.0035),tensor(97.8701)
215,54000,tensor(0.0024),tensor(97.5266)
216,54250,tensor(0.0029),tensor(97.2862)
217,54500,tensor(0.0030),tensor(97.6297)
218,54750,tensor(0.0008),tensor(97.2518)
219,55000,tensor(0.0041),tensor(97.3892)
220,55250,tensor(0.0058),tensor(97.2518)
221,55500,tensor(0.0024),tensor(96.7365)
222,55750,tensor(0.0021),tensor(97.2862)
223,56000,tensor(0.0266),tensor(97.4579)
224,56250,tensor(0.0176),tensor(97.3549)
225,56500,tensor(0.0678),tensor(97.3205)
226,56750,tensor(0.0040),tensor(97.5610)
227,57000,tensor(0.0007),tensor(97.2518)
228,57250,tensor(0.0181),tensor(97.0800)
229,57500,tensor(0.0092),tensor(97.4236)
230,57750,tensor(0.0128),tensor(96.8052)
231,58000,tensor(0.0046),tensor(97.4923)
232,58250,tensor(0.0013),tensor(97.3892)
233,58500,tensor(0.0042),tensor(96.9770)
234,58750,tensor(0.0338),tensor(97.4579)
235,59000,tensor(0.0377),tensor(97.4923)
236,59250,tensor(0.0008),tensor(97.2518)
237,59500,tensor(0.0067),tensor(97.1831)
238,59750,tensor(0.0010),tensor(98.0419)
239,60000,tensor(0.0949),tensor(95.7059)
240,60250,tensor(0.0044),tensor(97.8358)
241,60500,tensor(0.0111),tensor(97.2175)
242,60750,tensor(0.0008),tensor(97.4236)
243,61000,tensor(0.0151),tensor(97.4579)
244,61250,tensor(0.0025),tensor(97.6984)
245,61500,tensor(0.0046),tensor(98.0419)
246,61750,tensor(0.0556),tensor(97.1144)
247,62000,tensor(0.0193),tensor(96.9083)
248,62250,tensor(0.0136),tensor(97.5610)
249,62500,tensor(0.0150),tensor(97.4923)
250,62750,tensor(0.0244),tensor(97.8358)
251,63000,tensor(0.0033),tensor(97.7327)
252,63250,tensor(0.0018),tensor(97.2518)
253,63500,tensor(0.0016),tensor(97.7327)
254,63750,tensor(0.0006),tensor(97.1487)
255,64000,tensor(0.0025),tensor(97.7327)
256,64250,tensor(0.0376),tensor(96.6678)
257,64500,tensor(0.0051),tensor(97.6640)
258,64750,tensor(0.0053),tensor(97.8701)
259,65000,tensor(0.0166),tensor(96.9083)
260,65250,tensor(0.0034),tensor(97.9389)
261,65500,tensor(0.0002),tensor(97.9732)
262,65750,tensor(0.0004),tensor(97.5953)
263,66000,tensor(0.0027),tensor(97.1487)
264,66250,tensor(0.0134),tensor(97.5266)
265,66500,tensor(0.0450),tensor(97.6984)
266,66750,tensor(0.0006),tensor(97.5953)
267,67000,tensor(0.0122),tensor(97.4236)
268,67250,tensor(0.0013),tensor(97.8014)
269,67500,tensor(0.0293),tensor(97.0800)
270,67750,tensor(0.0051),tensor(96.8739)
271,68000,tensor(0.0235),tensor(96.2899)
272,68250,tensor(0.0138),tensor(97.5610)
273,68500,tensor(0.0013),tensor(97.5266)
274,68750,tensor(0.0037),tensor(97.3549)
275,69000,tensor(0.0094),tensor(97.3549)
276,69250,tensor(0.0090),tensor(97.9045)
277,69500,tensor(0.0352),tensor(96.8052)
278,69750,tensor(0.0020),tensor(97.6297)
279,70000,tensor(0.0389),tensor(96.4617)
280,70250,tensor(0.0003),tensor(97.5610)
281,70500,tensor(0.0003),tensor(97.3549)
282,70750,tensor(0.0081),tensor(97.0113)
283,71000,tensor(0.0004),tensor(97.5953)
284,71250,tensor(0.0007),tensor(97.5610)
285,71500,tensor(0.0001),tensor(97.4579)
286,71750,tensor(0.0115),tensor(97.0457)
287,72000,tensor(0.0068),tensor(97.5266)
288,72250,tensor(0.0001),tensor(97.2518)
289,72500,tensor(0.0015),tensor(97.3892)
290,72750,tensor(0.0008),tensor(97.2862)
291,73000,tensor(0.0011),tensor(97.1831)
292,73250,tensor(0.0716),tensor(96.5991)
293,73500,tensor(0.0082),tensor(97.6984)
294,73750,tensor(0.0015),tensor(97.7671)
295,74000,tensor(0.0086),tensor(97.3892)
296,74250,tensor(0.0058),tensor(97.6984)
297,74500,tensor(0.0031),tensor(97.0800)
298,74750,tensor(0.0016),tensor(97.4923)
299,75000,tensor(0.0095),tensor(97.5266)
300,75250,tensor(0.0002),tensor(97.8014)
301,75500,tensor(0.0013),tensor(97.7327)
302,75750,tensor(0.0401),tensor(97.8358)
303,76000,tensor(0.0080),tensor(98.0076)
304,76250,tensor(0.0015),tensor(97.4236)
305,76500,tensor(0.0002),tensor(97.7327)
306,76750,tensor(0.0010),tensor(97.9045)
307,77000,tensor(0.0004),tensor(97.0800)
308,77250,tensor(0.0004),tensor(98.1793)
309,77500,tensor(0.0140),tensor(97.3892)
310,77750,tensor(0.0069),tensor(97.4236)
